State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Arecanut,1254.0,2000.0
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Other Kharif pulses,2.0,1.0
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,102.0,321.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,176.0,641.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,720.0,165.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,18168.0,65100000.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,36.0,100.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Sugarcane,1.0,2.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Sweet potato,5.0,15.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Tapioca,40.0,169.0
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Arecanut,1254.0,2061.0
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Other Kharif pulses,2.0,1.0
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,83.0,300.0
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Cashewnut,719.0,192.0
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,18190.0,64430000.0
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry ginger,46.0,100.0
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Sugarcane,1.0,1.0
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Sweet potato,11.0,33.0
Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,189.2,510.84
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Arecanut,1258.0,2083.0
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,213.0,1278.0
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,63.0,13.5
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Cashewnut,719.0,208.0
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,18240.0,67490000.0
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Dry chillies,413.0,28.8
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Dry ginger,47.3,133.0
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Sugarcane,5.0,40.0
Andaman and Nicobar Islands,NICOBARS,2006,Kharif     ,Rice,52.0,90.17
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Arecanut,1261.0,1525.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,266.0,1763.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,75.5,15.86
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Cashewnut,717.0,208.5
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,18284.74,68580000.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry chillies,60.0,102.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry ginger,102.0,326.4
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,other oilseeds,4.2,0.3
Andaman and Nicobar Islands,NICOBARS,2007,Kharif     ,Rice,52.94,72.57
Andaman and Nicobar Islands,NICOBARS,2007,Whole Year ,Arecanut,1264.7,805.85
Andaman and Nicobar Islands,NICOBARS,2007,Whole Year ,Banana,66.42,404.12
Andaman and Nicobar Islands,NICOBARS,2007,Whole Year ,Black pepper,85.0,15.86
Andaman and Nicobar Islands,NICOBARS,2007,Whole Year ,Cashewnut,683.5,197.9
Andaman and Nicobar Islands,NICOBARS,2007,Whole Year ,Coconut ,18394.7,52380000.0
Andaman and Nicobar Islands,NICOBARS,2007,Whole Year ,Dry chillies,60.0,145.2
Andaman and Nicobar Islands,NICOBARS,2007,Whole Year ,Dry ginger,118.0,366.0
Andaman and Nicobar Islands,NICOBARS,2007,Whole Year ,other oilseeds,1.0,0.11
Andaman and Nicobar Islands,NICOBARS,2008,Kharif     ,Rice,2.09,12.06
Andaman and Nicobar Islands,NICOBARS,2008,Whole Year ,Arecanut,795.67,
Andaman and Nicobar Islands,NICOBARS,2008,Whole Year ,Banana,22.0,582.0
Andaman and Nicobar Islands,NICOBARS,2008,Whole Year ,Black pepper,41.0,0.1
Andaman and Nicobar Islands,NICOBARS,2008,Whole Year ,Cashewnut,450.0,55.8
Andaman and Nicobar Islands,NICOBARS,2008,Whole Year ,Coconut ,13876.57,52030000.0
Andaman and Nicobar Islands,NICOBARS,2008,Whole Year ,Dry chillies,17.0,
Andaman and Nicobar Islands,NICOBARS,2008,Whole Year ,Turmeric,10.0,70.0
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Arecanut,896.0,477.6
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Banana,198.0,976.0
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Black pepper,22.16,0.68
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Cashewnut,450.0,85.13
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Coconut ,14358.0,59370000.0
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Dry chillies,3.0,9.0
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Dry ginger,6.0,21.0
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Sugarcane,0.2,0.5
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Sweet potato,18.0,86.0
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Tapioca,52.03,450.0
Andaman and Nicobar Islands,NICOBARS,2009,Whole Year ,Turmeric,2.5,1.03
Andaman and Nicobar Islands,NICOBARS,2013,Autumn     ,Rice,3.5,10.0
Andaman and Nicobar Islands,NICOBARS,2013,Autumn     ,Sugarcane,13.4,41.75
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Arecanut,944.0,1610.0
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Black pepper,23.0,8.5
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Cashewnut,1000.5,260.5
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Dry chillies,12.0,25.0
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Dry ginger,7.0,9.64
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Maize,3.84,18.22
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Moong(Green Gram),1.5,1.1
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Sweet potato,22.0,208.0
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Turmeric,2.0,0.5
Andaman and Nicobar Islands,NICOBARS,2013,Rabi       ,Urad,1.5,1.16
Andaman and Nicobar Islands,NICOBARS,2013,Whole Year ,Banana,593.0,3425.0
Andaman and Nicobar Islands,NICOBARS,2013,Whole Year ,Coconut ,14560.0,71300000.0
Andaman and Nicobar Islands,NICOBARS,2013,Whole Year ,Tapioca,69.0,575.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Kharif     ,Arecanut,3100.0,5200.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Kharif     ,Other Kharif pulses,668.0,448.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Kharif     ,Rice,10779.0,31863.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Whole Year ,Banana,1531.0,12073.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Whole Year ,Cashewnut,80.0,54.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Whole Year ,Coconut ,6992.0,23900000.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Whole Year ,Dry ginger,352.0,1120.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Whole Year ,other oilseeds,133.0,55.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Whole Year ,Sugarcane,141.0,3736.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Whole Year ,Sweet potato,78.0,843.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2003,Whole Year ,Tapioca,160.0,2108.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2004,Kharif     ,Arecanut,3100.0,5239.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2004,Kharif     ,Other Kharif pulses,418.0,199.0
